row,cat
1,Angler fish
2,Arctic char
3,Atlantic bluefin tuna
4,Atlantic cod
5,Atlantic halibut
6,Atlantic herring
7,Atlantic mackerel
8,Atlantic salmon
9,Ballan wrasse
10,Barbel
11,Bib
12,Black seabream
13,Bleak
14,Blue shark
15,Brill
16,Brown trout
17,Bullhead
18,Bullrout
19,Burbot
20,Butterfish
21,Catfish
22,Chub
23,Common carp
24,Common dace
25,Common pandora
26,Common sole
27,Corkwing wrasse
28,Couch's seabream
29,Cuckoo wrasse
30,Dragonet
31,Eelpout
32,Eurasian minnow
33,European anchovy
34,European conger
35,European eel
36,European flounder
37,European hake
38,European pilchard
39,European plaice
40,European seabass
41,European smelt
42,European sprat
43,Five-bearded rockling
44,Freshwater bream
45,Garfish
46,Gilthead seabream
47,Grayling
48,Greater amberjack
49,Greater forkbeard
50,Grey triggerfish
51,Grey gurnard
52,Gudgeon
53,Haddock
54,John dory
55,Kitefin shark
56,Ling
57,Meagre
58,Mediterranean moray
59,Northern pike
60,Parrot fish
61,Pollack
62,Poor cod
63,Red gurnard
64,Red mullet
65,Red seabream
66,Roach
67,Rudd
68,Ruffe
69,Saithe
70,Sandsmelt
71,Scad
72,Sea scorpion
73,Shore rockling
74,Small sandeel
75,Spanish mackerel
76,Spurdog
77,Sturgeon
78,Tench
79,Thinlip grey mullet
80,Thornback ray
81,Three-spined stickleback
82,Thresher shark
83,Trout
84,Tub gurnard
85,Turbot
86,Twaite shad
87,Vendace
88,Wels catfish
89,White grouper
90,Whiting
91,Zander